# Calendar events  (title|startISO|endISO)
Team Standup|2026-05-22T09:00:00|2026-05-22T09:30:00
Client Demo Prep|2026-05-22T10:00:00|2026-05-22T11:30:00
Lunch with Recruiter|2026-05-22T12:00:00|2026-05-22T13:00:00
Code Review|2026-05-22T14:00:00|2026-05-22T15:00:00
1 on 1 with Manager|2026-05-22T16:00:00|2026-05-22T16:30:00
Memorial Day Planning|2026-05-23T10:00:00|2026-05-23T11:00:00
Personal Project Sprint|2026-05-23T13:00:00|2026-05-23T15:00:00
Costco Visit|2026-05-23T15:00:00|2026-05-23T16:30:00
Cavs Vs Knicks Game 4|2026-05-25T20:00:00|2026-05-25T23:00:00
Doctor Appointment|2026-05-26T11:00:00|2026-05-26T12:00:00
Graduation|2026-05-26T15:00:00|2026-05-26T17:00:00
Meeting with Professor|2026-05-26T17:00:00|2026-05-26T18:00:00
